time,odom_x,odom_y,fused_x,fused_y,lidar_avg
1763896896936,0.74419,-0.48003,0.558374,-0.360172,
1763896896982,0.744191,-0.48003,0.67721,-0.436825,
1763896897024,0.744192,-0.48003,0.719525,-0.464119,
1763896897069,0.744193,-0.48003,0.735563,-0.474464,
1763896897097,0.744194,-0.480029,0.741688,-0.478413,
1763896897128,0.744195,-0.48003,0.74402,-0.479917,
1763896897164,0.744197,-0.48003,0.744899,-0.480483,
1763896897204,0.744198,-0.48003,0.74522,-0.480689,
1763896897243,0.744199,-0.480029,0.745327,-0.480757,
1763896897270,0.7442,-0.480029,0.74535,-0.480771,
1763896897303,0.744202,-0.480029,0.74534,-0.480764,
1763896897353,0.744203,-0.480029,0.745318,-0.480749,
1763896897393,0.744204,-0.480029,0.745289,-0.48073,
1763896897431,0.744205,-0.480029,0.745259,-0.480709,
1763896897462,0.744206,-0.480029,0.745227,-0.480688,
1763896897497,0.744207,-0.480029,0.745194,-0.480666,
1763896897534,0.744209,-0.480029,0.745161,-0.480644,
1763896897580,0.74421,-0.480029,0.745128,-0.480622,
1763896897612,0.744211,-0.480029,0.745096,-0.4806,
1763896897652,0.744212,-0.480029,0.745064,-0.480578,
1763896897686,0.744213,-0.480029,0.745032,-0.480557,
1763896897719,0.744215,-0.480029,0.745,-0.480536,
1763896897759,0.744216,-0.480029,0.74497,-0.480516,
1763896897793,0.744217,-0.480029,0.74494,-0.480495,
1763896897839,0.744218,-0.480029,0.744911,-0.480476,
1763896897880,0.744219,-0.480029,0.744883,-0.480457,
1763896897913,0.744221,-0.480028,0.744855,-0.480438,
1763896897957,0.744222,-0.480028,0.744829,-0.48042,
1763896897992,0.744223,-0.480028,0.744804,-0.480403,
1763896898038,0.744224,-0.480028,0.744779,-0.480386,
1763896898073,0.744225,-0.480028,0.744755,-0.48037,
1763896898122,0.744227,-0.480028,0.744732,-0.480355,
1763896898158,0.744228,-0.480028,0.74471,-0.48034,
1763896898197,0.744229,-0.480028,0.744689,-0.480326,
1763896898254,0.74423,-0.480028,0.744669,-0.480312,
1763896898282,0.744231,-0.480028,0.74465,-0.480299,
1763896898319,0.744233,-0.480028,0.744632,-0.480286,
1763896898360,0.744234,-0.480028,0.744615,-0.480274,
1763896898407,0.744235,-0.480028,0.744598,-0.480262,
1763896898440,0.744236,-0.480028,0.744582,-0.480251,
1763896898471,0.744237,-0.480028,0.744567,-0.48024,
1763896898508,0.744238,-0.480028,0.744552,-0.48023,
1763896898550,0.74424,-0.480028,0.744538,-0.480221,
1763896898592,0.744241,-0.480028,0.744525,-0.480211,
1763896898624,0.744242,-0.480028,0.744513,-0.480203,
1763896898674,0.744243,-0.480028,0.744501,-0.480194,
1763896898719,0.744245,-0.480028,0.74449,-0.480186,
1763896898746,0.744246,-0.480028,0.74448,-0.480178,
1763896898778,0.744247,-0.480028,0.744469,-0.480171,
1763896898810,0.744248,-0.480028,0.74446,-0.480164,
1763896898851,0.744249,-0.480027,0.744451,-0.480158,
1763896898882,0.744251,-0.480027,0.744442,-0.480151,
1763896898928,0.744252,-0.480027,0.744434,-0.480145,
