x,y,z,yaw
-37.2,46.9,0.5,0.00
-36.2,46.9,0.5,0.00
-35.2,46.9,0.5,0.00
-34.2,46.9,0.5,0.00
-33.2,46.9,0.5,0.00
-32.2,46.9,0.5,0.00
-31.2,46.9,0.5,0.00
-30.2,46.9,0.5,0.00
-29.2,46.9,0.5,0.00
-28.2,46.9,0.5,0.00
-27.2,46.9,0.5,0.00
-26.2,46.9,0.5,0.00
-25.2,46.9,0.5,0.00
-24.2,46.9,0.5,0.00
-23.2,46.9,0.5,0.00
-14.2,46.9,0.5,0.00
-13.2,46.9,0.5,0.00
-12.2,46.9,0.5,0.00
-11.2,46.9,0.5,0.00
-10.2,46.9,0.5,0.00
-9.2,46.9,0.5,0.00
-8.2,46.9,0.5,0.00
-7.2,46.9,0.5,0.00
-6.2,46.9,0.5,0.00
-5.2,46.9,0.5,0.00
-4.2,46.9,0.5,0.00
-3.2,46.9,0.5,0.00
-2.2,46.9,0.5,0.00
-1.2,46.9,0.5,0.00
-0.2,46.9,0.5,0.00
0.8,46.9,0.5,0.00
1.8,46.9,0.5,0.00
2.8,46.9,0.5,0.00
3.8,46.9,0.5,0.00
4.8,46.9,0.5,0.00
5.8,46.9,0.5,0.00
6.8,46.9,0.5,0.00
7.8,46.9,0.5,0.00
8.8,46.9,0.5,0.00
9.8,46.9,0.5,0.00
10.8,46.9,0.5,0.00
11.8,46.9,0.5,0.00
12.8,46.9,0.5,0.00
13.8,46.9,0.5,0.00
14.8,46.9,0.5,0.00
22.8,46.9,0.5,0.00
23.8,46.9,0.5,0.00
24.8,46.9,0.5,0.00
25.8,46.9,0.5,0.00
26.8,46.9,0.5,0.00
27.8,46.9,0.5,0.00
28.8,46.9,0.5,0.00
29.8,46.9,0.5,0.00
30.8,46.9,0.5,0.00
31.8,46.9,0.5,0.00
32.8,46.9,0.5,0.00
33.8,46.9,0.5,0.00
34.8,46.9,0.5,0.00
35.8,46.9,0.5,0.00
36.8,46.9,0.5,0.00
37.2,50.6,0.5,82.39
36.2,50.6,0.5,180.00
35.2,50.6,0.5,180.00
34.2,50.6,0.5,180.00
33.2,50.6,0.5,180.00
32.2,50.6,0.5,180.00
31.2,50.6,0.5,180.00
30.2,50.6,0.5,180.00
29.2,50.6,0.5,180.00
28.2,50.6,0.5,180.00
27.2,50.6,0.5,180.00
26.2,50.6,0.5,180.00
25.2,50.6,0.5,180.00
24.2,50.6,0.5,180.00
23.2,50.6,0.5,180.00
14.2,50.6,0.5,180.00
13.2,50.6,0.5,180.00
12.2,50.6,0.5,180.00
11.2,50.6,0.5,180.00
10.2,50.6,0.5,180.00
9.2,50.6,0.5,180.00
8.2,50.6,0.5,180.00
7.2,50.6,0.5,180.00
6.2,50.6,0.5,180.00
5.2,50.6,0.5,180.00
4.2,50.6,0.5,180.00
3.2,50.6,0.5,180.00
2.2,50.6,0.5,180.00
1.2,50.6,0.5,180.00
0.2,50.6,0.5,180.00
-0.8,50.6,0.5,180.00
-1.8,50.6,0.5,180.00
-2.8,50.6,0.5,180.00
-3.8,50.6,0.5,180.00
-4.8,50.6,0.5,180.00
-5.8,50.6,0.5,180.00
-6.8,50.6,0.5,180.00
-7.8,50.6,0.5,180.00
-8.8,50.6,0.5,180.00
-9.8,50.6,0.5,180.00
-10.8,50.6,0.5,180.00
-11.8,50.6,0.5,180.00
-12.8,50.6,0.5,180.00
-13.8,50.6,0.5,180.00
-14.8,50.6,0.5,180.00
-22.8,50.6,0.5,180.00
-23.8,50.6,0.5,180.00
-24.8,50.6,0.5,180.00
-25.8,50.6,0.5,180.00
-26.8,50.6,0.5,180.00
-27.8,50.6,0.5,180.00
-28.8,50.6,0.5,180.00
-29.8,50.6,0.5,180.00
-30.8,50.6,0.5,180.00
-31.8,50.6,0.5,180.00
-32.8,50.6,0.5,180.00
-33.8,50.6,0.5,180.00
-34.8,50.6,0.5,180.00
-35.8,50.6,0.5,180.00
-36.8,50.6,0.5,180.00
-37.2,24.4,0.5,-91.09
-36.2,24.4,0.5,0.00
-35.2,24.4,0.5,0.00
-34.2,24.4,0.5,0.00
-33.2,24.4,0.5,0.00
-32.2,24.4,0.5,0.00
-31.2,24.4,0.5,0.00
-30.2,24.4,0.5,0.00
-29.2,24.4,0.5,0.00
-28.2,24.4,0.5,0.00
-27.2,24.4,0.5,0.00
-26.2,24.4,0.5,0.00
-25.2,24.4,0.5,0.00
-24.2,24.4,0.5,0.00
-23.2,24.4,0.5,0.00
-14.2,24.4,0.5,0.00
-13.2,24.4,0.5,0.00
-12.2,24.4,0.5,0.00
-11.2,24.4,0.5,0.00
-10.2,24.4,0.5,0.00
-9.2,24.4,0.5,0.00
-8.2,24.4,0.5,0.00
-7.2,24.4,0.5,0.00
-6.2,24.4,0.5,0.00
-5.2,24.4,0.5,0.00
-4.2,24.4,0.5,0.00
-3.2,24.4,0.5,0.00
-2.2,24.4,0.5,0.00
-1.2,24.4,0.5,0.00
-0.2,24.4,0.5,0.00
