step,x,y,z,yaw,lane_id,segment_id,segment_type,direction,source,target,connect_next
1,-40.000,48.000,0.500,0.000,H_y48.0_x-40.0_-20.0_fwd,H_y48.0_x-40.0_-20.0_fwd,straight,bidirectional,J_m40p00_48p00,J_m20p00_48p00,1
2,-39.500,48.000,0.500,0.000,H_y48.0_x-40.0_-20.0_fwd,H_y48.0_x-40.0_-20.0_fwd,straight,bidirectional,J_m40p00_48p00,J_m20p00_48p00,1
3,-39.000,48.000,0.500,0.000,H_y48.0_x-40.0_-20.0_fwd,H_y48.0_x-40.0_-20.0_fwd,straight,bidirectional,J_m40p00_48p00,J_m20p00_48p00,1
4,-38.500,48.000,0.500,0.000,H_y48.0_x-40.0_-20.0_fwd,H_y48.0_x-40.0_-20.0_fwd,straight,bidirectional,J_m40p00_48p00,J_m20p00_48p00,1
5,-38.000,48.000,0.500,0.000,H_y48.0_x-40.0_-20.0_fwd,H_y48.0_x-40.0_-20.0_fwd,straight,bidirectional,J_m40p00_48p00,J_m20p00_48p00,1
6,-37.500,48.000,0.500,0.000,H_y48.0_x-40.0_-20.0_fwd,H_y48.0_x-40.0_-20.0_fwd,straight,bidirectional,J_m40p00_48p00,J_m20p00_48p00,1
7,-37.000,48.000,0.500,0.000,H_y48.0_x-40.0_-20.0_fwd,H_y48.0_x-40.0_-20.0_fwd,straight,bidirectional,J_m40p00_48p00,J_m20p00_48p00,1
8,-36.500,48.000,0.500,0.000,H_y48.0_x-40.0_-20.0_fwd,H_y48.0_x-40.0_-20.0_fwd,straight,bidirectional,J_m40p00_48p00,J_m20p00_48p00,1
9,-36.000,48.000,0.500,0.000,H_y48.0_x-40.0_-20.0_fwd,H_y48.0_x-40.0_-20.0_fwd,straight,bidirectional,J_m40p00_48p00,J_m20p00_48p00,1
10,-35.500,48.000,0.500,0.000,H_y48.0_x-40.0_-20.0_fwd,H_y48.0_x-40.0_-20.0_fwd,straight,bidirectional,J_m40p00_48p00,J_m20p00_48p00,1
