step,x,y,z,yaw,lane_id,segment_id,parent_segment_id,lane_side,direction,direction_group,connect_next
209,-40.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
210,-39.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
211,-39.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
212,-38.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
213,-38.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
214,-37.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
215,-37.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
216,-36.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
217,-36.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
218,-35.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
219,-35.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
220,-34.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
221,-34.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
222,-33.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
223,-33.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
224,-32.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
225,-32.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
226,-31.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
227,-31.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
228,-30.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
229,-30.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
230,-29.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
231,-29.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
232,-28.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
233,-28.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
234,-27.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
235,-27.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
236,-26.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
237,-26.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
238,-25.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
239,-25.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
240,-24.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
241,-24.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
242,-23.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
243,-23.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
244,-22.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
245,-22.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
246,-21.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
247,-21.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
248,-20.5,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
249,-20.0,24.5,0.5,0.0,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,0
250,-20.0,27.5,0.5,180.0,H_y26.0_x-40.0_-20.0_reverse_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,reverse,reverse_right,1
251,-20.5,27.5,0.5,180.0,H_y26.0_x-40.0_-20.0_reverse_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,reverse,reverse_right,1
252,-21.0,27.5,0.5,180.0,H_y26.0_x-40.0_-20.0_reverse_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,reverse,reverse_right,1
