step,x,y,z,yaw
1,-40.000,48.000,0.500,-90.000
2,-40.000,47.500,0.500,-90.000
3,-40.000,47.000,0.500,-90.000
4,-40.000,46.500,0.500,-90.000
5,-40.000,46.000,0.500,-90.000
6,-40.000,45.500,0.500,-90.000
7,-40.000,45.000,0.500,-90.000
8,-40.000,44.500,0.500,-90.000
9,-40.000,44.000,0.500,-90.000
10,-40.000,43.500,0.500,-90.000
11,-40.000,43.000,0.500,-90.000
12,-40.000,42.500,0.500,-90.000
13,-40.000,42.000,0.500,-90.000
14,-40.000,41.500,0.500,-90.000
15,-40.000,41.000,0.500,-90.000
16,-40.000,40.500,0.500,-90.000
17,-40.000,40.000,0.500,-90.000
18,-40.000,39.500,0.500,-90.000
19,-40.000,39.000,0.500,-90.000
20,-40.000,38.500,0.500,-90.000
21,-40.000,38.000,0.500,-90.000
22,-40.000,37.500,0.500,-90.000
23,-40.000,37.000,0.500,-90.000
24,-40.000,36.500,0.500,-90.000
25,-40.000,36.000,0.500,-90.000
26,-40.000,35.500,0.500,-90.000
27,-40.000,35.000,0.500,-90.000
28,-40.000,34.500,0.500,-90.000
29,-40.000,34.000,0.500,-90.000
30,-40.000,33.500,0.500,-90.000
31,-40.000,33.000,0.500,-90.000
32,-40.000,32.500,0.500,-90.000
33,-40.000,32.000,0.500,-90.000
34,-40.000,31.500,0.500,-90.000
35,-40.000,31.000,0.500,-90.000
36,-40.000,30.500,0.500,-90.000
37,-40.000,30.000,0.500,-90.000
38,-40.000,29.500,0.500,-90.000
39,-40.000,29.000,0.500,-90.000
40,-40.000,28.500,0.500,-90.000
41,-40.000,28.000,0.500,-90.000
42,-40.000,27.500,0.500,-90.000
43,-40.000,27.000,0.500,-90.000
44,-40.000,26.500,0.500,-90.000
45,-40.000,26.000,0.500,-90.000
46,-40.000,25.500,0.500,-90.000
47,-40.000,25.000,0.500,-90.000
48,-40.000,24.500,0.500,-90.000
49,-40.000,24.000,0.500,-90.000
50,-40.000,23.500,0.500,-90.000
51,-40.000,23.000,0.500,-90.000
52,-40.000,22.500,0.500,-90.000
53,-40.000,22.000,0.500,-90.000
54,-40.000,21.500,0.500,-90.000
55,-40.000,21.000,0.500,-90.000
56,-40.000,20.500,0.500,-90.000
57,-40.000,20.000,0.500,-90.000
58,-40.000,19.500,0.500,-90.000
59,-40.000,19.000,0.500,-90.000
60,-40.000,18.500,0.500,-90.000
61,-40.000,18.000,0.500,-90.000
62,-40.000,17.500,0.500,-90.000
63,-40.000,17.000,0.500,-90.000
64,-40.000,16.500,0.500,-90.000
65,-40.000,16.000,0.500,-90.000
66,-40.000,15.500,0.500,-90.000
67,-40.000,15.000,0.500,-90.000
68,-40.000,14.500,0.500,-90.000
69,-40.000,14.000,0.500,-90.000
70,-40.000,13.500,0.500,-90.000
71,-40.000,13.000,0.500,-90.000
72,-40.000,12.500,0.500,-90.000
73,-40.000,12.000,0.500,-90.000
74,-40.000,11.500,0.500,-90.000
75,-40.000,11.000,0.500,-90.000
76,-40.000,10.500,0.500,-90.000
77,-40.000,10.000,0.500,-90.000
78,-40.000,9.500,0.500,-90.000
79,-40.000,9.000,0.500,-90.000
80,-40.000,8.500,0.500,-90.000
81,-40.000,8.000,0.500,-90.000
82,-40.000,7.500,0.500,-90.000
83,-40.000,7.000,0.500,-90.000
84,-40.000,6.500,0.500,-90.000
85,-40.000,6.000,0.500,-90.000
86,-40.000,5.500,0.500,-90.000
87,-40.000,5.000,0.500,-90.000
88,-40.000,4.500,0.500,-90.000
89,-40.000,4.000,0.500,-90.000
90,-40.000,3.500,0.500,-90.000
91,-40.000,3.000,0.500,-90.000
92,-40.000,2.500,0.500,-90.000
93,-40.000,2.000,0.500,-90.000
94,-40.000,1.500,0.500,-90.000
95,-40.000,1.000,0.500,-90.000
96,-40.000,0.500,0.500,-90.000
97,-40.000,0.000,0.500,-90.000
98,-40.000,-0.500,0.500,-90.000
99,-40.000,-1.000,0.500,-90.000
100,-40.000,-1.500,0.500,-90.000
101,-40.000,-2.000,0.500,-90.000
102,-40.000,-2.500,0.500,-90.000
103,-40.000,-3.000,0.500,-90.000
104,-40.000,-3.500,0.500,-90.000
105,-40.000,-4.000,0.500,0.000
106,-39.500,-4.000,0.500,0.000
107,-39.000,-4.000,0.500,0.000
108,-38.500,-4.000,0.500,0.000
109,-38.000,-4.000,0.500,0.000
110,-37.500,-4.000,0.500,0.000
111,-37.000,-4.000,0.500,0.000
112,-36.500,-4.000,0.500,0.000
113,-36.000,-4.000,0.500,0.000
114,-35.500,-4.000,0.500,0.000
115,-35.000,-4.000,0.500,0.000
116,-34.500,-4.000,0.500,0.000
117,-34.000,-4.000,0.500,0.000
118,-33.500,-4.000,0.500,0.000
119,-33.000,-4.000,0.500,0.000
120,-32.500,-4.000,0.500,0.000
121,-32.000,-4.000,0.500,0.000
122,-31.500,-4.000,0.500,0.000
123,-31.000,-4.000,0.500,0.000
124,-30.500,-4.000,0.500,0.000
125,-30.000,-4.000,0.500,0.000
126,-29.500,-4.000,0.500,0.000
127,-29.000,-4.000,0.500,0.000
128,-28.500,-4.000,0.500,0.000
129,-28.000,-4.000,0.500,0.000
130,-27.500,-4.000,0.500,0.000
131,-27.000,-4.000,0.500,0.000
132,-26.500,-4.000,0.500,0.000
133,-26.000,-4.000,0.500,-87.989
134,-25.982,-4.500,0.500,-84.572
135,-25.935,-4.997,0.500,-81.157
136,-25.858,-5.492,0.500,-77.220
137,-25.748,-5.979,0.500,-73.803
138,-25.608,-6.459,0.500,-70.385
139,-25.440,-6.930,0.500,-66.590
140,-25.242,-7.389,0.500,-63.033
141,-25.015,-7.834,0.500,-59.615
142,-24.762,-8.265,0.500,-55.960
143,-24.483,-8.679,0.500,-52.263
144,-24.177,-9.075,0.500,-48.846
145,-23.848,-9.451,0.500,-45.331
146,-23.497,-9.806,0.500,-41.493
147,-23.122,-10.137,0.500,-38.076
148,-22.729,-10.446,0.500,-34.702
149,-22.318,-10.730,0.500,-30.723
150,-21.888,-10.985,0.500,-27.306
151,-21.444,-11.215,0.500,-24.073
152,-20.988,-11.419,0.500,-19.953
153,-20.518,-11.589,0.500,-16.536
154,-20.039,-11.731,0.500,-13.443
155,-19.553,-11.848,0.500,-9.183
156,-19.059,-11.927,0.500,-5.766
157,-18.562,-11.978,0.500,-2.390
158,-18.062,-11.998,0.500,-179.768
159,-18.438,-12.000,0.500,180.000
160,-18.938,-12.000,0.500,180.000
161,-19.438,-12.000,0.500,180.000
162,-19.938,-12.000,0.500,-98.058
163,-20.000,-12.438,0.500,-90.000
164,-20.000,-12.938,0.500,-90.000
165,-20.000,-13.438,0.500,-90.000
166,-20.000,-13.938,0.500,-90.000
167,-20.000,-14.438,0.500,-90.000
168,-20.000,-14.938,0.500,-90.000
169,-20.000,-15.438,0.500,-90.000
170,-20.000,-15.938,0.500,-90.000
171,-20.000,-16.438,0.500,-90.000
172,-20.000,-16.938,0.500,-90.000
173,-20.000,-17.438,0.500,-90.000
174,-20.000,-17.938,0.500,-90.000
175,-20.000,-18.438,0.500,-90.000
176,-20.000,-18.938,0.500,-90.000
177,-20.000,-19.438,0.500,-90.000
178,-20.000,-19.938,0.500,-90.000
179,-20.000,-20.438,0.500,-90.000
180,-20.000,-20.938,0.500,-90.000
181,-20.000,-21.438,0.500,-90.000
182,-20.000,-21.938,0.500,-90.000
183,-20.000,-22.438,0.500,-90.000
184,-20.000,-22.938,0.500,-90.000
185,-20.000,-23.438,0.500,-90.000
186,-20.000,-23.938,0.500,-90.000
187,-20.000,-24.438,0.500,-90.000
188,-20.000,-24.938,0.500,-90.000
189,-20.000,-25.438,0.500,-90.000
190,-20.000,-25.938,0.500,-90.000
191,-20.000,-26.438,0.500,-90.000
192,-20.000,-26.938,0.500,-90.000
193,-20.000,-27.438,0.500,-90.000
194,-20.000,-27.938,0.500,-90.000
195,-20.000,-28.438,0.500,-90.000
196,-20.000,-28.938,0.500,-90.000
197,-20.000,-29.438,0.500,-90.000
198,-20.000,-29.938,0.500,-90.000
199,-20.000,-30.438,0.500,-90.000
200,-20.000,-30.938,0.500,-90.000
201,-20.000,-31.438,0.500,-90.000
202,-20.000,-31.938,0.500,-90.000
203,-20.000,-32.438,0.500,-90.000
204,-20.000,-32.938,0.500,-90.000
205,-20.000,-33.438,0.500,-90.000
206,-20.000,-33.938,0.500,-8.058
207,-19.562,-34.000,0.500,0.000
208,-19.062,-34.000,0.500,0.000
209,-18.562,-34.000,0.500,0.000
210,-18.062,-34.000,0.500,0.000
211,-17.562,-34.000,0.500,0.000
212,-17.062,-34.000,0.500,0.000
213,-16.562,-34.000,0.500,0.000
214,-16.062,-34.000,0.500,0.000
215,-15.562,-34.000,0.500,0.000
216,-15.062,-34.000,0.500,0.000
217,-14.562,-34.000,0.500,0.000
218,-14.062,-34.000,0.500,0.000
219,-13.562,-34.000,0.500,0.000
220,-13.062,-34.000,0.500,0.000
221,-12.562,-34.000,0.500,0.000
222,-12.062,-34.000,0.500,0.000
223,-11.562,-34.000,0.500,0.000
224,-11.062,-34.000,0.500,0.000
225,-10.562,-34.000,0.500,0.000
226,-10.062,-34.000,0.500,0.000
227,-9.562,-34.000,0.500,0.000
