step,x,y,z,yaw,lane_id,segment_id,parent_segment_id,lane_side,direction,direction_group,connect_next
1,-43.2,45.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
2,-43.2,44.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
3,-43.2,44.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
4,-43.2,43.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
5,-43.2,43.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
6,-43.2,42.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
7,-43.2,42.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
8,-43.2,41.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
9,-43.2,41.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
10,-43.2,40.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
11,-43.2,40.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
12,-43.2,39.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
13,-43.2,39.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
14,-43.2,38.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
15,-43.2,38.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
16,-43.2,37.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
17,-43.2,37.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
18,-43.2,36.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
19,-43.2,36.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
20,-43.2,35.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
21,-43.2,35.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
22,-43.2,34.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
23,-43.2,34.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
24,-43.2,33.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
25,-43.2,33.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
26,-43.2,32.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
27,-43.2,32.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
28,-43.2,31.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
29,-43.2,31.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
30,-43.2,30.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
31,-43.2,30.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
32,-43.2,29.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
33,-43.2,29.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
34,-43.2,28.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
35,-43.2,28.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
36,-43.2,27.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
37,-43.2,27.0,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
38,-43.2,26.5,0.5,-90.000,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
39,-43.2,26.0,0.5,-83.694,V_x-40.0_top_forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,forward_right,1
40,-43.119,25.267,0.5,-66.194,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,right,forward,forward_right,1
41,-43.074,25.165,0.5,-60.895,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,right,forward,forward_right,1
42,-43.02,25.068,0.5,-55.733,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,right,forward,forward_right,1
43,-42.958,24.977,0.5,-50.128,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,right,forward,forward_right,1
44,-42.887,24.892,0.5,-45.000,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,right,forward,forward_right,1
45,-42.808,24.813,0.5,-39.872,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,right,forward,forward_right,1
46,-42.723,24.742,0.5,-34.267,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,right,forward,forward_right,1
47,-42.632,24.68,0.5,-15.897,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,smooth_outer_side_vertical_same_style_arc_blue_left_y24p5_upper,right,forward,forward_right,1
48,-42.0,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
49,-41.714,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
50,-41.429,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
51,-41.143,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
52,-40.857,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
53,-40.571,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
54,-40.286,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
55,-40.0,24.5,0.5,0.000,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,smooth_outer_side_vertical_same_style_link_blue_left_y24p5,right,forward,forward_right,1
56,-39.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
57,-39.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
58,-38.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
59,-38.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
60,-37.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
61,-37.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
62,-36.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
63,-36.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
64,-35.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
65,-35.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
66,-34.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
67,-34.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
68,-33.5,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
69,-33.0,24.5,0.5,0.000,H_y26.0_x-40.0_-20.0_forward_right,H_y26.0_x-40.0_-20.0,H_y26.0_x-40.0_-20.0,right,forward,forward_right,1
