step,x,y,z,yaw,lane_id,direction_group,segment_id,parent_segment_id,lane_side,direction,connect_next
1,-41.500,48.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
2,-41.500,47.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
3,-41.500,47.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
4,-41.500,46.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
5,-41.500,46.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
6,-41.500,45.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
7,-41.500,45.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
8,-41.500,44.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
9,-41.500,44.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
10,-41.500,43.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
11,-41.500,43.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
12,-41.500,42.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
13,-41.500,42.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
14,-41.500,41.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
15,-41.500,41.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
16,-41.500,40.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
17,-41.500,40.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
18,-41.500,39.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
