index,x,y,yaw
0,-27.5000,31.2500,0.000000
1,-26.5000,31.2500,0.000000
2,-25.5000,31.2500,0.000000
3,-24.5000,31.2500,0.000000
4,-23.5000,31.2500,0.000000
5,-22.5000,31.2500,0.000000
6,-21.5000,31.2500,0.000000
7,-20.5000,31.2500,0.000000
8,-19.5000,31.2500,0.000000
9,-18.5000,31.2500,0.000000
10,-17.5000,31.2500,0.000000
11,-16.5000,31.2500,0.000000
12,-15.5000,31.2500,0.000000
13,-14.5000,31.2500,0.000000
14,-13.5000,31.2500,0.000000
15,-12.5000,31.2500,0.000000
16,-11.5000,31.2500,0.000000
17,-10.5000,31.2500,0.000000
18,-9.5000,31.2500,0.000000
19,-8.5000,31.2500,0.000000
20,-7.5000,31.2500,0.000000
21,-6.5000,31.2500,0.000000
22,-5.5000,31.2500,0.000000
23,-4.5000,31.2500,0.000000
24,-3.5000,31.2500,0.000000
25,-2.5000,31.2500,0.000000
26,-1.5000,31.2500,0.000000
27,-0.5000,31.2500,0.000000
28,0.5000,31.2500,0.000000
29,1.5000,31.2500,0.000000
30,2.5000,31.2500,0.000000
31,3.5000,31.2500,0.000000
32,4.5000,31.2500,0.000000
33,5.5000,31.2500,0.000000
34,6.5000,31.2500,0.000000
35,7.5000,31.2500,0.000000
36,8.5000,31.2500,0.000000
37,9.5000,31.2500,0.000000
38,10.5000,31.2500,0.000000
39,11.5000,31.2500,0.000000
40,12.5000,31.2500,0.000000
41,13.5000,31.2500,0.000000
42,14.5000,31.2500,0.000000
43,15.5000,31.2500,0.000000
44,16.5000,31.2500,0.000000
45,17.5000,31.2500,0.000000
46,18.5000,31.2500,0.000000
47,19.5000,31.2500,0.000000
48,20.5000,31.2500,0.000000
49,21.5000,31.2500,0.000000
50,22.5000,31.2500,0.000000
51,23.5000,31.2500,0.000000
52,24.5000,31.2500,0.000000
53,25.5000,31.2500,0.000000
54,26.5000,31.2500,0.000000
55,27.5000,31.2500,0.000000
56,27.6545,31.2280,-0.245437
57,26.9911,31.2411,-0.785398
58,26.4623,31.3888,-1.325359
59,26.2500,32.5000,-1.570796
60,26.2500,31.5000,-1.570796
61,26.2500,30.5000,-1.570796
62,26.2500,29.5000,-1.570796
63,26.2500,28.5000,-1.570796
64,26.2500,27.5000,-1.570796
65,26.2500,26.5000,-1.570796
66,26.2500,25.5000,-1.570796
67,26.2500,24.5000,-1.570796
68,26.2500,23.5000,-1.570796
69,26.2500,22.5000,-1.570796
70,26.2500,21.5000,-1.570796
71,26.2500,20.5000,-1.570796
72,26.2500,19.5000,-1.570796
73,26.2500,18.5000,-1.570796
74,26.2500,17.5000,-1.570796
75,26.2280,17.3455,-1.816233
76,26.2411,18.0089,-2.356194
77,26.3888,18.5377,-2.896156
78,27.5000,18.7500,3.141593
79,26.5000,18.7500,3.141593
80,25.5000,18.7500,3.141593
81,24.5000,18.7500,3.141593
82,23.5000,18.7500,3.141593
83,22.5000,18.7500,3.141593
84,21.5000,18.7500,3.141593
85,20.5000,18.7500,3.141593
86,19.5000,18.7500,3.141593
87,18.5000,18.7500,3.141593
88,17.5000,18.7500,3.141593
89,16.5000,18.7500,3.141593
90,15.5000,18.7500,3.141593
91,14.5000,18.7500,3.141593
92,13.5000,18.7500,3.141593
93,12.5000,18.7500,3.141593
94,11.5000,18.7500,3.141593
95,10.5000,18.7500,3.141593
96,9.5000,18.7500,3.141593
97,8.5000,18.7500,3.141593
98,7.5000,18.7500,3.141593
99,6.5000,18.7500,3.141593
100,5.5000,18.7500,3.141593
101,4.5000,18.7500,3.141593
102,3.5000,18.7500,3.141593
103,2.5000,18.7500,3.141593
104,1.5000,18.7500,3.141593
105,0.5000,18.7500,3.141593
106,-0.5000,18.7500,3.141593
107,-1.5000,18.7500,3.141593
108,-2.5000,18.7500,3.141593
109,-3.5000,18.7500,3.141593
110,-4.5000,18.7500,3.141593
111,-5.5000,18.7500,3.141593
112,-6.5000,18.7500,3.141593
113,-7.5000,18.7500,3.141593
114,-8.5000,18.7500,3.141593
115,-9.5000,18.7500,3.141593
116,-10.5000,18.7500,3.141593
117,-11.5000,18.7500,3.141593
118,-12.5000,18.7500,3.141593
119,-13.5000,18.7500,3.141593
120,-14.5000,18.7500,3.141593
121,-15.5000,18.7500,3.141593
122,-16.5000,18.7500,3.141593
123,-17.5000,18.7500,3.141593
124,-18.5000,18.7500,3.141593
125,-19.5000,18.7500,3.141593
126,-20.5000,18.7500,3.141593
127,-21.5000,18.7500,3.141593
128,-22.5000,18.7500,3.141593
129,-23.5000,18.7500,3.141593
130,-24.5000,18.7500,3.141593
131,-25.5000,18.7500,3.141593
132,-26.5000,18.7500,3.141593
133,-27.5000,18.7500,3.141593
134,-28.6112,18.5377,-2.896156
135,-28.7589,18.0089,-2.356194
136,-28.7720,17.3455,-1.816233
137,-28.7500,16.5000,-1.570796
138,-28.7500,15.5000,-1.570796
139,-28.7500,14.5000,-1.570796
